"filename", "language", "CSS", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/components/AuthCheck.js", "JavaScript", 0, 27, 0, 2, 5, 34
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/components/DownloadBtn.js", "JavaScript", 0, 32, 0, 16, 31, 79
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/components/ImageUpload.js", "JavaScript", 0, 39, 0, 36, 16, 91
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/components/List.js", "JavaScript", 0, 84, 0, 5, 18, 107
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/components/LogoutBtn.js", "JavaScript", 0, 37, 0, 0, 3, 40
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/components/Sidebar.js", "JavaScript", 0, 43, 0, 16, 24, 83
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/components/Zus/index.jsx", "JavaScript JSX", 0, 0, 0, 19, 6, 25
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/components/Zus/store.js", "JavaScript", 0, 0, 0, 7, 4, 11
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/components/initialEls.js", "JavaScript", 0, 15, 0, 79, 8, 102
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/config.js", "JavaScript", 0, 24, 0, 10, 9, 43
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/nodes/ColorNote.js", "JavaScript", 0, 155, 0, 59, 51, 265
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/nodes/ImgNode2.js", "JavaScript", 0, 83, 0, 157, 74, 314
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/nodes/OmgNode.js", "JavaScript", 0, 39, 0, 7, 6, 52
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/nodes/TextUpdaterNode.js", "JavaScript", 0, 145, 0, 46, 48, 239
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/nodes/TextUpdaterNode2.js", "JavaScript", 0, 152, 0, 47, 45, 244
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/nodes/circleNode.js", "JavaScript", 0, 82, 0, 22, 25, 129
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/nodes/example.js", "JavaScript", 0, 136, 0, 29, 32, 197
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/nodes/nodestyle.css", "CSS", 0, 0, 0, 0, 1, 1
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/pages/Accounting/Form.js", "JavaScript", 0, 104, 0, 9, 28, 141
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/pages/Accounting/index.jsx", "JavaScript JSX", 0, 0, 47, 2, 13, 62
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/pages/FFFlow/AuthCheck.js", "JavaScript", 0, 22, 0, 1, 10, 33
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/pages/FFFlow/ffflow.module.css", "CSS", 10, 0, 0, 3, 4, 17
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/pages/FFFlow/index.jsx", "JavaScript JSX", 0, 0, 305, 67, 85, 457
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/pages/MemberPage/Login.js", "JavaScript", 0, 67, 0, 8, 19, 94
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/pages/MemberPage/Register.js", "JavaScript", 0, 79, 0, 0, 21, 100
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/pages/MemberPage/index.jsx", "JavaScript JSX", 0, 0, 50, 1, 10, 61
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/pages/MemberPage/member.module.css", "CSS", 2, 0, 0, 2, 1, 5
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/pages/_app.js", "JavaScript", 0, 6, 0, 1, 4, 11
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/pages/index.js", "JavaScript", 0, 67, 0, 13, 16, 96
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/pages/rotate.css", "CSS", 23, 0, 0, 8, 9, 40
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/pages/style.css", "CSS", 152, 0, 0, 14, 46, 212
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/store.js", "JavaScript", 0, 74, 0, 95, 33, 202
"/Users/jyunhongmacbookair/Desktop/三階作業next正式/aaaaa/src/utils.js", "JavaScript", 0, 0, 0, 85, 19, 104
"Total", "-", 187, 1512, 402, 866, 724, 3691
